teams,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,score
atl,240.00,40.86,87.86,0.47,14.57,37.29,0.39,22.00,27.14,0.80,11.57,36.29,47.86,24.86,5.86,3.86,14.57,21.57,118.29,0.59,0.55,0.42,0.31,25.86,76.39,52.14,61.06,5.89,6.97,12.74,100.00,117.61,111.71,118.29
bos,240.00,42.88,87.88,0.49,12.25,30.50,0.40,15.38,20.75,0.72,11.13,32.63,43.75,23.63,9.13,7.13,15.50,21.13,113.38,0.59,0.56,0.35,0.24,25.40,77.98,51.47,54.90,9.10,13.05,13.81,100.00,113.50,112.96,113.38
brk,243.13,42.50,88.75,0.48,14.38,37.38,0.39,20.13,24.75,0.81,9.38,38.50,47.88,25.13,7.63,6.25,15.75,20.88,119.50,0.60,0.56,0.42,0.29,20.90,73.28,49.19,59.29,7.29,9.85,13.66,100.00,115.08,107.06,119.50
chi,240.00,39.88,88.25,0.45,13.13,36.38,0.35,21.00,26.13,0.80,8.75,35.63,44.38,23.88,7.88,4.13,17.38,21.63,113.88,0.57,0.53,0.41,0.30,19.94,80.18,50.14,59.61,7.49,8.26,14.79,100.00,107.80,113.11,113.88
cho,240.00,39.57,89.57,0.44,12.71,35.57,0.36,15.43,22.00,0.69,11.14,33.14,44.29,29.71,9.00,4.86,15.57,21.29,107.29,0.54,0.51,0.40,0.25,22.74,77.07,47.81,75.30,8.89,9.97,13.57,100.00,105.80,110.81,107.29
cle,247.14,40.29,89.00,0.45,10.29,27.86,0.38,13.57,20.14,0.68,11.00,33.71,44.71,25.29,11.14,5.00,16.00,20.29,104.43,0.53,0.51,0.31,0.23,24.19,73.96,49.04,62.54,11.09,9.93,14.03,100.00,103.33,104.49,104.43
dal,240.00,37.71,84.29,0.45,12.43,38.57,0.32,19.86,26.00,0.78,8.29,34.57,42.86,21.57,8.29,3.00,12.29,22.57,107.71,0.56,0.52,0.46,0.31,18.73,78.53,48.89,57.36,8.49,6.51,11.34,100.00,110.67,107.21,107.71
den,243.57,42.71,86.29,0.50,11.86,31.86,0.37,19.71,27.00,0.74,9.86,31.86,41.71,27.86,7.14,4.43,14.43,20.57,117.00,0.60,0.56,0.37,0.32,24.59,75.93,50.84,65.30,7.20,7.81,12.83,100.00,117.50,116.70,117.00
det,247.14,40.43,93.29,0.43,13.43,38.00,0.35,16.71,21.43,0.76,10.86,32.71,43.57,24.57,7.86,4.43,13.14,20.00,111.00,0.54,0.51,0.41,0.23,22.24,79.84,48.59,60.53,7.67,8.87,11.19,100.00,108.67,114.99,111.00
gsw,240.00,40.29,91.71,0.44,13.57,38.57,0.35,22.29,27.86,0.80,7.71,37.43,45.14,24.14,6.86,6.57,14.43,25.29,116.43,0.56,0.52,0.42,0.31,15.83,77.14,46.93,59.27,6.27,12.36,12.26,100.00,107.79,112.17,116.43
hou,245.00,39.00,83.40,0.47,12.80,38.20,0.34,21.40,27.80,0.77,7.60,34.00,41.60,22.00,7.60,5.60,14.80,20.40,112.20,0.59,0.54,0.46,0.34,17.60,73.90,46.34,56.06,7.52,9.82,13.36,100.00,110.54,113.96,112.20
ind,243.57,43.86,89.00,0.49,12.86,35.57,0.35,14.29,19.14,0.75,7.14,34.29,41.43,27.71,9.86,5.43,13.57,23.57,114.86,0.59,0.56,0.40,0.21,17.24,76.99,47.90,63.24,9.70,9.17,12.17,100.00,113.16,106.77,114.86
lac,240.00,40.13,85.00,0.47,14.50,34.63,0.42,16.13,19.63,0.83,8.75,32.75,41.50,25.13,7.13,5.25,12.50,22.50,110.88,0.59,0.56,0.41,0.23,21.18,77.64,49.49,61.86,7.36,11.09,11.79,100.00,115.68,114.85,110.88
lal,240.00,43.25,88.50,0.49,12.50,31.88,0.39,15.13,19.63,0.78,10.00,38.88,48.88,25.88,6.63,6.00,15.38,18.63,114.13,0.59,0.56,0.36,0.22,23.14,81.83,54.26,59.66,6.68,10.35,13.68,100.00,114.05,104.16,114.13
mem,243.57,40.86,93.00,0.44,10.71,32.86,0.33,14.43,18.86,0.77,10.43,36.14,46.57,24.86,8.43,4.86,14.43,18.14,106.86,0.53,0.50,0.35,0.20,21.63,77.24,49.11,60.94,8.26,8.43,12.34,100.00,104.20,109.34,106.86
mia,240.00,38.67,79.67,0.48,12.00,33.33,0.36,16.50,22.00,0.74,5.50,35.83,41.33,26.00,8.83,2.83,18.33,21.00,105.83,0.59,0.56,0.42,0.28,14.02,78.93,48.45,67.23,8.80,5.95,16.92,100.00,105.17,106.67,105.83
mil,240.00,45.57,91.29,0.50,17.43,40.00,0.43,16.00,21.00,0.79,11.00,37.71,48.71,26.43,9.57,4.71,15.71,20.29,124.57,0.62,0.60,0.44,0.23,24.79,83.21,55.09,58.16,9.19,8.76,13.59,100.00,120.16,107.61,124.57
min,240.00,40.86,92.14,0.45,11.00,34.86,0.32,14.86,20.14,0.73,11.71,30.57,42.29,23.29,8.71,5.00,14.14,21.86,107.57,0.53,0.51,0.38,0.22,24.37,76.16,48.00,57.29,8.57,9.13,12.29,100.00,106.30,118.34,107.57
nop,243.57,38.43,86.29,0.45,10.43,32.29,0.30,19.00,27.14,0.67,11.86,37.86,49.71,22.29,8.57,4.43,15.71,17.29,106.29,0.54,0.51,0.38,0.32,25.97,84.49,55.11,57.93,8.64,10.61,13.87,100.00,106.86,105.23,106.29
nyk,240.00,38.29,84.00,0.46,10.29,27.57,0.39,16.43,21.71,0.75,10.00,36.86,46.86,23.43,6.71,4.86,16.71,21.71,103.29,0.55,0.52,0.33,0.26,23.50,77.21,51.60,61.53,6.84,9.60,15.14,100.00,105.59,107.39,103.29
okc,240.00,36.67,84.33,0.43,12.83,40.83,0.32,14.33,20.83,0.67,7.50,37.17,44.67,22.00,6.50,5.17,15.83,17.83,100.50,0.54,0.51,0.49,0.25,16.53,77.75,47.40,61.40,6.48,8.68,14.45,100.00,100.32,110.83,100.50
orl,240.00,41.00,93.57,0.44,9.86,29.43,0.33,18.86,22.71,0.83,12.57,36.43,49.00,21.86,8.43,3.00,12.43,17.86,110.71,0.54,0.49,0.31,0.25,25.53,81.16,51.73,53.33,8.29,5.19,10.74,100.00,109.06,105.91,110.71
phi,240.00,40.57,86.14,0.47,11.57,32.43,0.35,18.29,24.14,0.76,9.57,39.14,48.71,25.57,9.00,7.29,16.00,19.86,111.00,0.57,0.54,0.38,0.28,21.80,79.41,52.26,63.07,8.89,13.19,14.20,100.00,109.77,100.50,111.00
pho,240.00,39.57,84.29,0.47,13.57,36.71,0.37,15.14,18.43,0.82,8.00,33.86,41.86,25.29,5.43,4.57,13.29,20.86,107.86,0.59,0.55,0.44,0.23,18.86,80.76,49.91,63.66,5.63,8.61,12.61,100.00,113.01,105.27,107.86
por,243.57,39.86,92.29,0.43,16.00,42.71,0.37,18.71,24.14,0.77,8.43,35.57,44.00,21.86,8.00,3.71,11.14,20.14,114.43,0.56,0.52,0.46,0.27,17.70,79.44,47.80,54.53,7.76,7.13,9.76,100.00,111.27,115.03,114.43
sac,243.57,40.00,90.57,0.44,10.14,29.43,0.34,20.43,27.86,0.74,12.43,34.71,47.14,22.14,6.29,5.29,14.29,22.00,110.57,0.54,0.50,0.32,0.31,24.97,81.71,51.36,54.66,6.16,9.79,12.26,100.00,107.86,113.69,110.57
sas,240.00,42.43,93.86,0.45,12.00,30.29,0.39,14.57,19.14,0.77,9.43,36.43,45.86,26.29,7.14,5.71,11.57,18.29,111.43,0.54,0.52,0.33,0.21,18.60,79.60,47.84,62.04,6.97,9.24,10.21,100.00,108.97,112.39,111.43
tor,240.00,37.00,89.83,0.41,15.00,44.83,0.34,17.00,21.17,0.80,9.00,34.00,43.00,23.50,9.33,5.83,14.17,25.00,106.00,0.53,0.50,0.50,0.24,18.40,75.35,45.58,63.23,9.08,11.28,12.52,100.00,103.73,107.62,106.00
uta,240.00,40.00,88.71,0.45,14.43,38.71,0.37,15.29,21.29,0.71,11.57,38.43,50.00,21.86,5.43,4.71,15.14,18.00,109.71,0.56,0.53,0.44,0.24,25.74,80.93,53.99,54.00,5.50,7.57,13.33,100.00,110.86,111.11,109.71
was,240.00,43.29,91.14,0.48,12.29,32.57,0.38,19.71,26.57,0.75,9.00,34.71,43.71,28.14,7.14,3.86,14.57,24.71,118.57,0.58,0.54,0.36,0.29,19.56,79.16,48.87,65.17,6.77,7.00,12.51,100.00,112.34,113.97,118.57