mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,quarter,team
120,14,37,.378,3,15,.200,17,21,.810,3,21,24,5,4,2,10,10,48,second_half,por
240,47,95,.495,18,38,.474,16,22,.727,11,36,47,30,13,6,10,25,128,game,lac
60,13,24,.542,8,12,.667,3,4,.750,1,9,10,11,2,3,1,2,37,q1,lac
60,15,24,.625,6,9,.667,3,4,.750,2,6,8,9,3,0,2,8,39,q2,lac
120,28,48,.583,14,21,.667,6,8,.750,3,15,18,20,5,3,3,10,76,first_half,lac
60,11,25,.440,2,6,.333,7,9,.778,5,9,14,4,6,1,2,9,31,q3,lac
60,8,22,.364,2,11,.182,3,5,.600,3,12,15,6,2,2,5,6,21,q4,lac
120,19,47,.404,4,17,.235,10,14,.714,8,21,29,10,8,3,7,15,52,second_half,lac
240,44,96,.458,20,40,.500,8,11,.727,11,33,44,23,9,3,10,13,116,game,sas
60,14,25,.560,7,11,.636,1,1,1.000,3,8,11,8,2,1,2,3,36,q1,sas
60,10,28,.357,4,10,.400,3,3,1.000,5,14,19,5,2,2,3,4,27,q2,sas
120,24,53,.453,11,21,.524,4,4,1.000,8,22,30,13,4,3,5,7,63,first_half,sas
60,9,22,.409,3,9,.333,1,2,.500,2,3,5,5,2,0,2,4,22,q3,sas
60,11,21,.524,6,10,.600,3,5,.600,1,8,9,5,3,0,3,2,31,q4,sas
120,20,43,.465,9,19,.474,4,7,.571,3,11,14,10,5,0,5,6,53,second_half,sas
240,43,86,.500,15,35,.429,12,13,.923,7,38,45,29,6,7,13,16,113,game,lac
60,11,21,.524,1,8,.125,4,4,1.000,1,7,8,6,2,1,3,2,27,q1,lac
60,6,23,.261,2,9,.222,3,3,1.000,3,13,16,4,1,3,4,4,17,q2,lac
120,17,44,.386,3,17,.176,7,7,1.000,4,20,24,10,3,4,7,6,44,first_half,lac
60,16,21,.762,7,9,.778,1,2,.500,2,10,12,11,1,2,2,5,40,q3,lac
60,10,21,.476,5,9,.556,4,4,1.000,1,8,9,8,2,1,4,5,29,q4,lac
120,26,42,.619,12,18,.667,5,6,.833,3,18,21,19,3,3,6,10,69,second_half,lac
240,44,93,.473,14,40,.350,14,19,.737,11,29,40,22,10,3,16,29,116,game,lac
60,14,20,.700,5,10,.500,6,7,.857,2,10,12,9,5,0,5,4,39,q1,lac
60,7,25,.280,2,11,.182,1,2,.500,1,8,9,3,2,0,7,13,17,q2,lac
120,21,45,.467,7,21,.333,7,9,.778,3,18,21,12,7,0,12,17,56,first_half,lac
60,13,24,.542,4,8,.500,3,5,.600,2,9,11,4,2,1,2,6,33,q3,lac
60,10,24,.417,3,11,.273,4,5,.800,6,2,8,6,1,2,2,6,27,q4,lac
120,23,48,.479,7,19,.368,7,10,.700,8,11,19,10,3,3,4,12,60,second_half,lac
240,38,81,.469,9,29,.310,24,31,.774,8,37,45,22,4,2,19,20,109,game,lal
60,7,18,.389,2,8,.250,3,6,.500,1,4,5,4,2,0,6,6,19,q1,lal
60,10,22,.455,3,9,.333,12,14,.857,2,17,19,6,1,0,5,6,35,q2,lal
120,17,40,.425,5,17,.294,15,20,.750,3,21,24,10,3,0,11,12,54,first_half,lal
60,10,25,.400,2,8,.250,2,3,.667,2,9,11,4,0,0,3,5,24,q3,lal
60,11,16,.688,2,4,.500,7,8,.875,3,7,10,8,1,2,5,3,31,q4,lal
120,21,41,.512,4,12,.333,9,11,.818,5,16,21,12,1,2,8,8,55,second_half,lal
240,41,83,.494,13,32,.406,20,26,.769,3,24,27,20,13,3,9,22,115,game,dal
60,11,20,.550,4,8,.500,4,4,1.000,0,7,7,5,2,1,2,4,30,q1,dal
60,8,20,.400,2,4,.500,9,12,.750,1,5,6,4,8,0,4,6,27,q2,dal
120,19,40,.475,6,12,.500,13,16,.812,1,12,13,9,10,1,6,10,57,first_half,dal
60,10,23,.435,5,13,.385,3,4,.750,2,7,9,5,3,1,2,7,28,q3,dal
60,12,20,.600,2,7,.286,4,6,.667,0,5,5,6,0,1,1,5,30,q4,dal
120,22,43,.512,7,20,.350,7,10,.700,2,12,14,11,3,2,3,12,58,second_half,dal
240,51,91,.560,19,39,.487,17,24,.708,17,36,53,33,9,4,16,23,138,game,lal
60,13,23,.565,3,8,.375,4,5,.800,4,9,13,8,2,0,2,3,33,q1,lal
60,14,21,.667,6,11,.545,2,4,.500,3,10,13,9,4,2,9,10,36,q2,lal
120,27,44,.614,9,19,.474,6,9,.667,7,19,26,17,6,2,11,13,69,first_half,lal
60,10,23,.435,3,11,.273,7,10,.700,5,9,14,7,2,2,4,5,30,q3,lal
60,14,24,.583,7,9,.778,4,5,.800,5,8,13,9,1,0,1,5,39,q4,lal
120,24,47,.511,10,20,.500,11,15,.733,10,17,27,16,3,2,5,10,69,second_half,lal
240,38,103,.369,6,35,.171,9,14,.643,17,31,48,24,11,6,17,24,91,game,min
60,11,31,.355,0,10,.000,1,1,1.000,4,5,9,5,5,0,3,7,23,q1,min
60,9,26,.346,3,12,.250,1,3,.333,5,9,14,6,2,3,5,5,22,q2,min
120,20,57,.351,3,22,.136,2,4,.500,9,14,23,11,7,3,8,12,45,first_half,min
60,8,23,.348,1,7,.143,5,6,.833,6,6,12,6,0,0,5,8,22,q3,min
60,10,23,.435,2,6,.333,2,4,.500,2,11,13,7,4,3,4,4,24,q4,min
120,18,46,.391,3,13,.231,7,10,.700,8,17,25,13,4,3,9,12,46,second_half,min
240,50,90,.556,13,35,.371,14,18,.778,5,41,46,32,6,14,17,19,127,game,lal
60,15,21,.714,6,10,.600,4,6,.667,1,13,14,9,1,3,7,4,40,q1,lal
60,12,27,.444,3,10,.300,0,2,.000,3,12,15,9,2,4,4,4,27,q2,lal
120,27,48,.562,9,20,.450,4,8,.500,4,25,29,18,3,7,11,8,67,first_half,lal
60,13,19,.684,3,7,.429,7,7,1.000,0,5,5,9,1,4,2,7,36,q3,lal
60,10,23,.435,1,8,.125,3,3,1.000,1,11,12,5,2,3,4,4,24,q4,lal
120,23,42,.548,4,15,.267,10,10,1.000,1,16,17,14,3,7,6,11,60,second_half,lal
240,43,92,.467,16,46,.348,13,15,.867,7,38,45,27,9,6,9,16,115,game,por
60,7,23,.304,3,14,.214,5,5,1.000,3,10,13,3,2,1,4,2,22,q1,por
60,14,21,.667,3,7,.429,5,6,.833,1,9,10,9,2,0,0,3,36,q2,por
120,21,44,.477,6,21,.286,10,11,.909,4,19,23,12,4,1,4,5,58,first_half,por
60,10,24,.417,5,13,.385,1,2,.500,2,11,13,7,5,3,4,8,26,q3,por
60,12,24,.500,5,12,.417,2,2,1.000,1,8,9,8,0,2,1,3,31,q4,por
120,22,48,.458,10,25,.400,3,4,.750,3,19,22,15,5,5,5,11,57,second_half,por
240,41,87,.471,10,27,.370,15,18,.833,6,35,41,20,6,5,14,14,107,game,lal
60,12,24,.500,5,8,.625,1,1,1.000,1,11,12,8,2,2,3,3,30,q1,lal
60,9,19,.474,2,6,.333,4,4,1.000,1,7,8,3,0,1,4,6,24,q2,lal
120,21,43,.488,7,14,.500,5,5,1.000,2,18,20,11,2,3,7,9,54,first_half,lal
60,12,23,.522,1,5,.200,6,8,.750,1,10,11,7,3,2,5,4,31,q3,lal
60,8,21,.381,2,8,.250,4,5,.800,3,7,10,2,1,0,2,1,22,q4,lal
120,20,44,.455,3,13,.231,10,13,.769,4,17,21,9,4,2,7,5,53,second_half,lal
240,41,98,.418,11,44,.250,10,13,.769,10,30,40,25,8,5,11,23,103,game,pho
60,11,25,.440,3,12,.250,0,0,,2,5,7,6,1,0,4,4,25,q1,pho
60,12,26,.462,2,10,.200,3,3,1.000,2,7,9,7,4,4,2,4,29,q2,pho
120,23,51,.451,5,22,.227,3,3,1.000,4,12,16,13,5,4,6,8,54,first_half,pho
60,10,23,.435,4,10,.400,1,3,.333,1,10,11,7,0,0,2,7,25,q3,pho
60,8,24,.333,2,12,.167,6,7,.857,5,8,13,5,3,1,3,8,24,q4,pho
120,18,47,.383,6,22,.273,7,10,.700,6,18,24,12,3,1,5,15,49,second_half,pho
240,39,86,.453,5,23,.217,23,33,.697,15,41,56,20,4,9,18,22,106,game,sac
60,13,23,.565,2,8,.250,3,4,.750,4,8,12,10,3,3,5,6,31,q1,sac
60,9,21,.429,2,6,.333,7,7,1.000,2,10,12,5,0,2,6,3,27,q2,sac
120,22,44,.500,4,14,.286,10,11,.909,6,18,24,15,3,5,11,9,58,first_half,sac
60,10,21,.476,1,4,.250,4,11,.364,4,13,17,4,0,2,4,7,25,q3,sac
60,7,21,.333,0,5,.000,9,11,.818,5,10,15,1,1,2,3,6,23,q4,sac
120,17,42,.405,1,9,.111,13,22,.591,9,23,32,5,1,4,7,13,48,second_half,sac
240,46,94,.489,14,35,.400,10,11,.909,8,36,44,34,6,3,9,20,116,game,pho
60,11,23,.478,5,8,.625,1,1,1.000,0,7,7,8,0,0,1,4,28,q1,pho
60,11,23,.478,3,8,.375,3,3,1.000,3,10,13,10,1,1,2,4,28,q2,pho
120,22,46,.478,8,16,.500,4,4,1.000,3,17,20,18,1,1,3,8,56,first_half,pho
60,12,24,.500,4,11,.364,6,6,1.000,4,10,14,8,2,2,5,6,34,q3,pho
60,12,24,.500,2,8,.250,0,1,.000,1,9,10,8,3,0,1,6,26,q4,pho
120,24,48,.500,6,19,.316,6,7,.857,5,19,24,16,5,2,6,12,60,second_half,pho
240,36,76,.474,10,23,.435,18,25,.720,3,36,39,21,5,4,15,23,100,game,sac
60,12,19,.632,3,7,.429,6,8,.750,1,11,12,9,1,3,1,2,33,q1,sac
60,7,20,.350,1,4,.250,5,6,.833,1,8,9,3,1,0,4,6,20,q2,sac
120,19,39,.487,4,11,.364,11,14,.786,2,19,21,12,2,3,5,8,53,first_half,sac
60,9,20,.450,3,4,.750,4,5,.800,1,7,8,2,3,0,7,11,25,q3,sac
60,8,17,.471,3,8,.375,3,6,.500,0,10,10,7,0,1,3,4,22,q4,sac
120,17,37,.459,6,12,.500,7,11,.636,1,17,18,9,3,1,10,15,47,second_half,sac
240,44,81,.543,11,28,.393,16,20,.800,7,32,39,27,7,5,19,18,115,game,den
60,16,24,.667,1,4,.250,1,1,1.000,2,6,8,10,3,0,3,4,34,q1,den
60,10,19,.526,4,8,.500,4,7,.571,3,6,9,7,2,1,7,5,28,q2,den
120,26,43,.605,5,12,.417,5,8,.625,5,12,17,17,5,1,10,9,62,first_half,den
60,12,18,.667,4,7,.571,10,11,.909,0,9,9,8,2,2,3,3,38,q3,den
60,6,20,.300,2,9,.222,1,1,1.000,2,11,13,2,0,2,6,6,15,q4,den
120,18,38,.474,6,16,.375,11,12,.917,2,20,22,10,2,4,9,9,53,second_half,den
240,46,94,.489,16,33,.485,17,22,.773,12,25,37,33,9,2,10,18,125,game,sac
60,10,19,.526,4,7,.571,8,9,.889,2,6,8,7,1,0,5,3,32,q1,sac
60,15,24,.625,7,11,.636,5,6,.833,4,3,7,12,3,0,3,5,42,q2,sac
120,25,43,.581,11,18,.611,13,15,.867,6,9,15,19,4,0,8,8,74,first_half,sac
60,9,24,.375,1,5,.200,3,6,.500,3,5,8,5,1,0,2,8,22,q3,sac
60,12,27,.444,4,10,.400,1,1,1.000,3,11,14,9,4,2,0,2,29,q4,sac
120,21,51,.412,5,15,.333,4,7,.571,6,16,22,14,5,2,2,10,51,second_half,sac
240,43,84,.512,15,34,.441,17,21,.810,12,38,50,30,6,6,23,28,118,game,cho
60,12,24,.500,5,11,.455,7,7,1.000,4,8,12,9,3,1,5,6,36,q1,cho
60,12,22,.545,3,8,.375,5,8,.625,3,7,10,8,1,2,4,8,32,q2,cho
120,24,46,.522,8,19,.421,12,15,.800,7,15,22,17,4,3,9,14,68,first_half,cho
60,11,20,.550,5,10,.500,3,4,.750,2,15,17,9,2,0,6,5,30,q3,cho
60,8,18,.444,2,5,.400,2,2,1.000,3,8,11,4,0,3,8,9,20,q4,cho
120,19,38,.500,7,15,.467,5,6,.833,5,23,28,13,2,3,14,14,50,second_half,cho
240,34,87,.391,12,42,.286,19,33,.576,13,26,39,24,10,6,14,16,99,game,dal
60,11,19,.579,4,9,.444,3,6,.500,1,6,7,9,3,1,5,7,29,q1,dal
60,9,21,.429,3,10,.300,7,10,.700,3,7,10,7,0,1,3,6,28,q2,dal
120,20,40,.500,7,19,.368,10,16,.625,4,13,17,16,3,2,8,13,57,first_half,dal
60,4,24,.167,1,15,.067,3,6,.500,5,6,11,1,3,2,3,2,12,q3,dal
60,10,23,.435,4,8,.500,6,11,.545,4,7,11,7,4,2,3,1,30,q4,dal
120,14,47,.298,5,23,.217,9,17,.529,9,13,22,8,7,4,6,3,42,second_half,dal
240,29,78,.372,7,33,.212,18,25,.720,5,36,41,20,10,2,14,24,83,game,mia
60,6,18,.333,0,7,.000,4,6,.667,0,8,8,3,3,0,2,7,16,q1,mia
60,3,18,.167,0,7,.000,9,12,.750,4,9,13,1,3,1,6,4,15,q2,mia
120,9,36,.250,0,14,.000,13,18,.722,4,17,21,4,6,1,8,11,31,first_half,mia
60,8,20,.400,4,7,.571,2,3,.667,1,8,9,7,2,0,4,7,22,q3,mia
60,12,22,.545,3,12,.250,3,4,.750,0,11,11,9,2,1,2,6,30,q4,mia
120,20,42,.476,7,19,.368,5,7,.714,1,19,20,16,4,1,6,13,52,second_half,mia
240,32,78,.410,12,37,.324,17,23,.739,4,45,49,18,9,3,16,25,93,game,dal
60,6,16,.375,1,7,.143,7,9,.778,2,12,14,3,0,0,5,5,20,q1,dal
60,10,22,.455,5,11,.455,1,4,.250,0,12,12,7,4,1,4,9,26,q2,dal
120,16,38,.421,6,18,.333,8,13,.615,2,24,26,10,4,1,9,14,46,first_half,dal
60,10,19,.526,5,11,.455,2,2,1.000,1,10,11,6,3,2,3,6,27,q3,dal
60,6,21,.286,1,8,.125,7,8,.875,1,11,12,2,2,0,4,5,20,q4,dal
120,16,40,.400,6,19,.316,9,10,.900,2,21,23,8,5,2,7,11,47,second_half,dal
240,48,95,.505,10,25,.400,25,29,.862,8,40,48,28,8,8,10,18,131,game,sas
60,9,22,.409,3,8,.375,9,10,.900,2,14,16,3,0,0,4,3,30,q1,sas
60,16,28,.571,3,6,.500,1,2,.500,3,10,13,10,3,3,0,3,36,q2,sas
120,25,50,.500,6,14,.429,10,12,.833,5,24,29,13,3,3,4,6,66,first_half,sas
60,12,25,.480,0,3,.000,9,10,.900,2,5,7,7,5,2,3,5,33,q3,sas
60,11,20,.550,4,8,.500,6,7,.857,1,11,12,8,0,3,3,7,32,q4,sas
120,23,45,.511,4,11,.364,15,17,.882,3,16,19,15,5,5,6,12,65,second_half,sas
240,49,95,.516,10,27,.370,11,18,.611,5,37,42,27,6,8,11,20,119,game,mem
60,13,26,.500,5,11,.455,2,3,.667,0,9,9,6,2,4,0,4,33,q1,mem
60,8,24,.333,4,8,.500,0,2,.000,5,9,14,4,0,1,5,2,20,q2,mem
120,21,50,.420,9,19,.474,2,5,.400,5,18,23,10,2,5,5,6,53,first_half,mem
60,15,21,.714,1,2,.500,4,6,.667,0,11,11,8,2,2,6,8,35,q3,mem
60,13,24,.542,0,6,.000,5,7,.714,0,8,8,9,2,1,0,6,31,q4,mem
120,28,45,.622,1,8,.125,9,13,.692,0,19,19,17,4,3,6,14,66,second_half,mem
240,38,89,.427,13,36,.361,33,38,.868,13,41,54,23,4,5,15,20,122,game,atl
60,11,25,.440,3,13,.231,2,2,1.000,1,12,13,5,3,0,3,6,27,q1,atl
60,10,23,.435,3,7,.429,8,8,1.000,2,9,11,7,1,1,3,6,31,q2,atl
120,21,48,.438,6,20,.300,10,10,1.000,3,21,24,12,4,1,6,12,58,first_half,atl
60,9,23,.391,3,6,.500,8,11,.727,6,9,15,6,0,3,5,3,29,q3,atl
60,8,18,.444,4,10,.400,15,17,.882,4,11,15,5,0,1,4,5,35,q4,atl
120,17,41,.415,7,16,.438,23,28,.821,10,20,30,11,0,4,9,8,64,second_half,atl
240,37,93,.398,13,43,.302,25,29,.862,9,37,46,20,5,6,10,27,112,game,mem
60,9,24,.375,2,11,.182,2,4,.500,4,12,16,5,0,1,4,2,22,q1,mem
60,10,22,.455,3,9,.333,11,13,.846,1,10,11,5,1,2,3,7,34,q2,mem
120,19,46,.413,5,20,.250,13,17,.765,5,22,27,10,1,3,7,9,56,first_half,mem
60,12,25,.480,6,12,.500,2,2,1.000,1,8,9,7,2,3,1,9,32,q3,mem
60,6,22,.273,2,11,.182,10,10,1.000,3,7,10,3,2,0,2,9,24,q4,mem
120,18,47,.383,8,23,.348,12,12,1.000,4,15,19,10,4,3,3,18,56,second_half,mem
240,41,89,.461,12,35,.343,14,19,.737,12,37,49,24,9,5,10,15,108,game,lal
60,10,22,.455,5,11,.455,0,0,,1,8,9,9,1,2,3,4,25,q1,lal
60,11,24,.458,2,7,.286,7,8,.875,5,14,19,4,4,1,4,3,31,q2,lal
120,21,46,.457,7,18,.389,7,8,.875,6,22,28,13,5,3,7,7,56,first_half,lal
60,9,25,.360,1,8,.125,2,2,1.000,4,10,14,5,1,1,1,4,21,q3,lal
60,11,18,.611,4,9,.444,5,9,.556,2,5,7,6,3,1,2,4,31,q4,lal
120,20,43,.465,5,17,.294,7,11,.636,6,15,21,11,4,2,3,8,52,second_half,lal
240,39,95,.411,9,33,.273,7,8,.875,14,36,50,23,6,3,11,18,94,game,mem
60,14,24,.583,6,9,.667,2,3,.667,2,10,12,10,2,1,1,3,36,q1,mem
60,8,25,.320,1,10,.100,1,1,1.000,3,8,11,3,3,1,4,5,18,q2,mem
120,22,49,.449,7,19,.368,3,4,.750,5,18,23,13,5,2,5,8,54,first_half,mem
60,9,25,.360,1,7,.143,2,2,1.000,4,12,16,7,0,0,1,2,21,q3,mem
60,8,21,.381,1,7,.143,2,2,1.000,5,6,11,3,1,1,5,8,19,q4,mem
120,17,46,.370,2,14,.143,4,4,1.000,9,18,27,10,1,1,6,10,40,second_half,mem
240,38,87,.437,9,31,.290,9,11,.818,9,43,52,24,7,8,17,14,94,game,lal
60,9,21,.429,0,5,.000,1,2,.500,0,11,11,6,2,4,6,2,19,q1,lal
60,10,25,.400,5,11,.455,1,1,1.000,4,10,14,6,2,0,4,3,26,q2,lal
120,19,46,.413,5,16,.312,2,3,.667,4,21,25,12,4,4,10,5,45,first_half,lal
60,9,21,.429,3,10,.300,1,2,.500,2,11,13,6,1,1,2,5,22,q3,lal
60,10,20,.500,1,5,.200,6,6,1.000,3,11,14,6,2,3,5,4,27,q4,lal
120,19,41,.463,4,15,.267,7,8,.875,5,22,27,12,3,4,7,9,49,second_half,lal
240,36,87,.414,10,26,.385,10,13,.769,5,33,38,24,14,4,13,14,92,game,mem
60,10,25,.400,3,7,.429,1,1,1.000,2,10,12,6,6,1,3,4,24,q1,mem
60,10,21,.476,2,6,.333,3,3,1.000,0,9,9,7,3,1,3,2,25,q2,mem
120,20,46,.435,5,13,.385,4,4,1.000,2,19,21,13,9,2,6,6,49,first_half,mem
60,7,20,.350,2,8,.250,3,4,.750,0,7,7,5,2,1,3,2,19,q3,mem
60,9,21,.429,3,5,.600,3,5,.600,3,7,10,6,3,1,4,6,24,q4,mem
120,16,41,.390,5,13,.385,6,9,.667,3,14,17,11,5,2,7,8,43,second_half,mem
240,36,85,.424,9,37,.243,21,26,.808,6,33,39,17,6,0,11,23,102,game,dal
60,7,25,.280,2,11,.182,6,7,.857,2,11,13,4,2,0,2,5,22,q1,dal
60,8,22,.364,3,8,.375,4,6,.667,3,6,9,5,2,0,4,6,23,q2,dal
120,15,47,.319,5,19,.263,10,13,.769,5,17,22,9,4,0,6,11,45,first_half,dal
60,8,17,.471,3,10,.300,7,8,.875,0,8,8,4,1,0,2,6,26,q3,dal
60,13,21,.619,1,8,.125,4,5,.800,1,8,9,4,1,0,3,6,31,q4,dal
120,21,38,.553,4,18,.222,11,13,.846,1,16,17,8,2,0,5,12,57,second_half,dal
240,38,79,.481,11,30,.367,19,27,.704,6,42,48,21,7,7,18,26,106,game,pho
60,8,21,.381,3,9,.333,4,4,1.000,0,15,15,4,1,4,7,10,23,q1,pho
60,12,18,.667,3,7,.429,3,6,.500,1,12,13,7,2,2,6,6,30,q2,pho
120,20,39,.513,6,16,.375,7,10,.700,1,27,28,11,3,6,13,16,53,first_half,pho
60,9,20,.450,3,8,.375,3,6,.500,3,8,11,5,1,0,3,6,24,q3,pho
60,9,20,.450,2,6,.333,9,11,.818,2,7,9,5,3,1,2,4,29,q4,pho
120,18,40,.450,5,14,.357,12,17,.706,5,15,20,10,4,1,5,10,53,second_half,pho
240,37,77,.481,3,24,.125,9,18,.500,7,34,41,18,8,3,16,14,86,game,nop
60,13,18,.722,1,4,.250,2,6,.333,1,6,7,8,4,1,4,2,29,q1,nop
60,7,20,.350,0,7,.000,1,2,.500,4,5,9,1,1,0,7,9,15,q2,nop
120,20,38,.526,1,11,.091,3,8,.375,5,11,16,9,5,1,11,11,44,first_half,nop
60,7,18,.389,1,8,.125,2,3,.667,0,10,10,4,0,0,4,1,17,q3,nop
60,10,21,.476,1,5,.200,4,7,.571,2,13,15,5,3,2,1,2,25,q4,nop
120,17,39,.436,2,13,.154,6,10,.600,2,23,25,9,3,2,5,3,42,second_half,nop
240,37,84,.440,19,47,.404,18,19,.947,12,31,43,24,7,4,10,18,111,game,pho
60,11,19,.579,7,11,.636,2,2,1.000,2,5,7,8,1,0,6,5,31,q1,pho
60,9,17,.529,2,8,.250,15,15,1.000,2,7,9,4,4,1,1,3,35,q2,pho
120,20,36,.556,9,19,.474,17,17,1.000,4,12,16,12,5,1,7,8,66,first_half,pho
60,13,27,.481,8,19,.421,0,0,,4,12,16,8,2,2,0,4,34,q3,pho
60,4,21,.190,2,9,.222,1,2,.500,4,7,11,4,0,1,3,6,11,q4,pho
120,17,48,.354,10,28,.357,1,2,.500,8,19,27,12,2,3,3,10,45,second_half,pho
240,40,83,.482,17,29,.586,15,19,.789,8,29,37,24,5,2,10,22,112,game,lac
60,14,23,.609,6,9,.667,3,4,.750,1,8,9,9,1,0,3,1,37,q1,lac
60,10,22,.455,4,11,.364,3,5,.600,3,11,14,8,2,1,3,6,27,q2,lac
120,24,45,.533,10,20,.500,6,9,.667,4,19,23,17,3,1,6,7,64,first_half,lac
60,9,18,.500,3,4,.750,3,4,.750,1,2,3,4,0,1,3,8,24,q3,lac
60,7,20,.350,4,5,.800,6,6,1.000,3,8,11,3,2,0,1,7,24,q4,lac
120,16,38,.421,7,9,.778,9,10,.900,4,10,14,7,2,1,4,15,48,second_half,lac
240,37,75,.493,10,33,.303,23,28,.821,7,33,40,23,4,3,13,22,107,game,pho
60,11,19,.579,1,6,.167,1,1,1.000,0,7,7,7,2,0,7,5,24,q1,pho
60,7,20,.350,2,11,.182,4,6,.667,1,10,11,6,1,1,3,6,20,q2,pho
120,18,39,.462,3,17,.176,5,7,.714,1,17,18,13,3,1,10,11,44,first_half,pho
60,11,18,.611,5,8,.625,10,12,.833,4,6,10,6,1,2,0,3,37,q3,pho
60,8,18,.444,2,8,.250,8,9,.889,2,10,12,4,0,0,3,8,26,q4,pho
120,19,36,.528,7,16,.438,18,21,.857,6,16,22,10,1,2,3,11,63,second_half,pho
